 ft_cal_cr_ledHousing_h2_v12 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h2_v12 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:2, v:12 |
 ft_cal_cr_motherVolume_h2_v13 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | -145.35*mm, 22.950000000000003*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:2, v:13 |
 ft_cal_cr_apd_h2_v13 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | -145.35*mm, 22.950000000000003*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:2, v:13 |
 ft_cal_cr_wrap_h2_v13 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h2_v13 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:2, v:13 |
 ft_cal_cr_h2_v13 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h2_v13 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 2, iv: 13 | na | na | na | na | 1 | PbWO4 crystal h:2, v:13 |
 ft_cal_cr_ledHousing_h2_v13 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h2_v13 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:2, v:13 |
 ft_cal_cr_motherVolume_h2_v14 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | -145.35*mm, 38.25*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:2, v:14 |
 ft_cal_cr_apd_h2_v14 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | -145.35*mm, 38.25*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:2, v:14 |
 ft_cal_cr_wrap_h2_v14 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h2_v14 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:2, v:14 |
 ft_cal_cr_h2_v14 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h2_v14 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 2, iv: 14 | na | na | na | na | 1 | PbWO4 crystal h:2, v:14 |
 ft_cal_cr_ledHousing_h2_v14 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h2_v14 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:2, v:14 |
 ft_cal_cr_motherVolume_h2_v15 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | -145.35*mm, 53.550000000000004*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:2, v:15 |
 ft_cal_cr_apd_h2_v15 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | -145.35*mm, 53.550000000000004*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:2, v:15 |
 ft_cal_cr_wrap_h2_v15 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h2_v15 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:2, v:15 |
 ft_cal_cr_h2_v15 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h2_v15 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 2, iv: 15 | na | na | na | na | 1 | PbWO4 crystal h:2, v:15 |
